,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
84,Woman,"Doja Cat",2387,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
85,"eight(Prod.&Feat. SUGA of BTS)",IU,2378,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
86,"WA DA DA",Kep1er,2369,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
87,"Siren Remix (Feat. UNEDUCATED KID, Paul Blanco)",HOMIES,2368,https://open.spotify.com/track/2S9FuNX2H2cCwxcIoTUtbM
88,"Maybe if",BIBI,2347,https://open.spotify.com/track/6MxIazgQENgaa6StpFxGpu
89,"Memories of You and Me",YUMDDA,2300,https://open.spotify.com/track/1F5MRky5joGXiNlsfUdaXa
90,STEREOTYPE,STAYC,2295,https://open.spotify.com/track/2bZIDMpzVooosmPHn0tHnd
91,"Waterbomb (Feat. Gaeko, Nucksal) (Prod. CODE KUNST)","Gwangil Jo",2293,https://open.spotify.com/track/4iMaBhUaR1xfkobeLEEQyx
92,Snowman,Sia,2286,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
93,LOCO,ITZY,2243,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
94,"If you lovingly call my name",GyeongseoYeji,2243,https://open.spotify.com/track/0tgxvf4rqBBeEB54h0nnRD
95,HAPPEN,HEIZE,2207,https://open.spotify.com/track/1jRYyE9MEg7nxUgWEtsqFp
96,"Off My Face","Justin Bieber",2198,https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U
97,CREDIT,lIlBOI,2192,https://open.spotify.com/track/2lHmx4nJOTGHx2PkEFMADF
98,Infinity,"Jaymes Young",2192,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
99,"Universe (Let's Play Ball)","NCT U",2141,https://open.spotify.com/track/6hHrPwQYGp9kPL7xLZviBS
100,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,2099,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
101,"Girl Of My Dreams (with SUGA of BTS)","Juice WRLD",2083,https://open.spotify.com/track/7DF8lvLdV3htIbuTWpc7lR
102,"Hold On","Justin Bieber",2076,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
103,"Favorite (Vampire)","NCT 127",2073,https://open.spotify.com/track/2R8MZR1RCP4cIJITHDPRbY
104,"MONTERO (Call Me By Your Name)","Lil Nas X",2073,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
105,METEOR,CHANGMO,2058,https://open.spotify.com/track/4g6XOg9rvB55GCTJcYchOG
106,"Lovesick Girls",BLACKPINK,2055,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
107,VVS,Mirani,2055,https://open.spotify.com/track/2Zr0bYRHwWXi7eM2wuE6Aj
108,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,2054,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
109,Tomorrow,lIlBOI,2050,https://open.spotify.com/track/7K31QxS2DmTBxdYldd8yqf
110,"The Feels",TWICE,2035,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
111,2002,Anne-Marie,2015,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
112,"At My Worst","Pink Sweat$",1995,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
113,"Life Goes On",BTS,1989,https://open.spotify.com/track/5FVbvttjEvQ8r2BgUcJgNg
114,"gganbu (Feat. YUMDDA, ASH ISLAND) (Prod. TOIL)",KOONTA,1989,https://open.spotify.com/track/4XI5Kdm1zdSFxdIGd9xUVT
115,"Blue & Grey",BTS,1988,https://open.spotify.com/track/7Ki0hse0IfXEcXUlpyECbJ
116,"Stuck with U (with Justin Bieber)","Ariana Grande",1987,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
117,사이렌,HOMIES,1981,https://open.spotify.com/track/6mzkkz2p0Nyyp43Eedv4mS
118,"Boy With Luv (feat. Halsey)",BTS,1964,https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI
119,"love nwantiti (ah ah ah)",CKay,1960,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
120,"for lovers who hesitate",JANNABI,1947,https://open.spotify.com/track/5BqwC9kOBbqYkzdOKeXFFk
121,"There For You","Kim Na Young",1936,https://open.spotify.com/track/4D3Wo2n0MuTT0DL0zKFGFI
122,"Need to Know","Doja Cat",1933,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
123,"THATS WHAT I WANT","Lil Nas X",1931,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
124,"DUMB DUMB","JEON SOMI",1927,https://open.spotify.com/track/5VXSt0cvi5wtJTox0wKI4x
125,Circles,"Post Malone",1914,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
126,ASAP,STAYC,1910,https://open.spotify.com/track/5BXr7hYZQOeRttkeWYTq5S
127,"Think About You",Joosiq,1898,https://open.spotify.com/track/0rXtV4L8uQ7KHNxxKd2jGZ
128,"Do It To It",ACRAZE,1892,https://open.spotify.com/track/20on25jryn53hWghthWWW3
129,"How can I love the heartbreak, you're the one I love",AKMU,1892,https://open.spotify.com/track/0hqj5JBnFt1BHEz2UCFwrl
130,"To Life","Jay Park",1878,https://open.spotify.com/track/1hqukerMJf9N1qHo2sijii
131,"Heartbreak Anniversary",Giveon,1875,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
132,Blueming,IU,1873,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO
133,"Inner Child",BTS,1860,https://open.spotify.com/track/25MHcbjvSdcfTiFgbKJiZF
134,"When it snows(Feat.Heize)","Lee Mujin",1859,https://open.spotify.com/track/2vA5M8uXee4amGQajyUMFR
